Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,,1,100,,100,100,10,10,30,0,0,0,2,2,,,,,4,,3,,0
0,1,2022,1,100,100,100,,60,60,60,15,0,0,1,2,,,,,92,,3,,1
0,1,2022,1,26.19,20,31.82,,63,16.5,16.5,6,10.5,0,1,2,19,655,1766.380667,48,132,14,0,1,2
0,1,2022,1,100,100,100,,60,60,60,9,6,0,1,1,22,112,943.8859833,29,92,17,3,2,1
1,1,2022,1,45,100,35.29,,60,27,27,9,0,0,1,1,32,131,1555.959867,39,22,25,1,2,1
0,1,2020,0,100,100,100,90,66,66,66,36,30,0,2,3,31,93,1574.9273,45,132,9,3,2,2
0,1,2016,1,100,100,100,53.84615385,18,18,18,6,12,0,4,4,38,301,2984.126517,70,41,20,3,2,0
1,1,,1,0,,0,0,12,0,0,0,0,0,2,2,,,,,68,,0,,0
0,1,2020,0,100,100,100,100,60,60,60,12,6,0,3,3,38,154,1700.00525,37,140,22,3,2,1
0,1,2019,0,90,100,84.62,74.07407407,60,54,54,21,33,0,3,4,26,140,1809.9101,36,117,16,3,2,1
0,1,,1,,,,34.61538462,25.5,0,0,0,0,0,1,1,3,16,135.3654167,3,,2,,1,0
0,1,,1,,,,78.37837838,12,0,0,0,0,0,1,4,,,,,,,,,0
1,1,2011,1,0,,0,0,12,0,0,0,0,0,4,4,2,11,45.17706667,3,,,0,1,0
0,1,2020,1,39.39,23.08,50,61.76470588,49.5,19.5,19.5,4.5,15,0,1,2,23,114,1227.60655,28,90,16,0,2,1
0,1,2020,0,100,100,100,100,60,60,60,12,6,0,3,3,,,,,154,,3,,1
0,1,2019,1,100,100,100,100,60,60,60,33,27,0,4,4,33,223,2271.7416,56,88,22,3,2,1
0,1,2019,1,100,100,100,93.33333333,57,57,57,45,12,0,4,4,,,,,4,,3,,1
0,1,2022,1,100,100,100,,60,60,60,27,15,0,1,1,,,,,138,,3,,1
0,1,,0,100,100,100,,61.5,61.5,61.5,30,31.5,0,1,1,,,,,150,,3,,2
0,1,2020,1,100,100,100,100,60,60,60,12,6,0,3,3,37,949,3914.380267,96,152,32,3,2,1
0,1,2022,0,100,100,100,,60,60,60,30,30,0,1,1,50,193,3000.671417,80,115,28,3,2,1
0,0,,1,100,100,100,,22.5,22.5,22.5,12,10.5,0,1,1,,,,,62,,3,,0
1,1,,1,0,,0,80,12,0,0,0,0,0,1,1,,,,,1,,0,,0
0,1,2019,1,100,100,100,100,60,60,60,9,9,0,4,4,32,62,342.66655,37,149,3,3,2,1
0,1,2020,1,81.82,80,83.33,90,66,54,54,24,30,0,2,3,22,121,1254.572233,34,92,12,3,2,2
0,1,2021,1,92.5,100,84.21,100,60,55.5,55.5,31.5,24,0,2,2,14,119,1257.193833,29,135,13,3,1,1
0,1,,1,100,,100,76.92307692,12,12,12,0,12,0,1,1,,,,,2,,3,,0
0,1,2019,1,100,100,100,100,60,60,60,28.5,31.5,0,4,4,33,212,2482.568817,63,87,21,3,2,1
